date,site,state,lat,lon,condition,reads_F04,reads_R22,reads_NF1,reads_18Sr2b
2010-05-07,Bayfront Park,AL,30.353917,-88.117850,Pre-spill,37007,35875,35996,32446
2010-05-07,Ryan Ct (Dauphin Island Beach),AL,30.250233,-88.145917,Pre-spill,77149,71588,25879,22990
2010-05-07,Dauphin Island Bay,AL,30.253383,-88.146883,Pre-spill,15084,15716,29532,25934
2010-05-08,Belleair Boulevard,AL,30.508033,-88.101633,Pre-spill,5700,4519,15970,14209
2010-05-08,Shellfish Lab,AL,30.246550,-88.078717,Pre-spill,83619,86360,27639,23402
2010-09-20,Grand Isle,LA,29.225031,-90.007734,Post-spill,2529,1795,13528,11041
2010-09-21,Belleair Boulevard,AL,30.508048,-88.102016,Post-spill,897,796,674,636
2010-09-21,Bayfront Park,AL,30.354336,-88.117722,Post-spill,385,256,696,513
2010-09-21,Shellfish Lab,AL,30.247153,-88.075333,Post-spill,3111,2932,1818,1427
2010-09-21,Ryan Ct (Dauphin Island Beach),AL,30.250481,-88.146151,Post-spill,31507,31232,27975,26306
2010-09-21,Dauphin Island Bay,AL,30.251384,-88.135182,Post-spill,24913,23072,22699,21734
